                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6244,                 3.0147,                 1.6749,                  0.227,                0.47187,                0.31955,                 0.1339,                 1.8379,                 3.7722,                 1.6643,             0.00047272,             0.00047272,             0.00047272
                      2,                 1.6356,                 1.8071,                 1.6205,                0.53178,                0.54007,                0.45347,                0.14519,                 2.2468,                 2.8302,                 1.8992,             0.00094279,             0.00094279,             0.00094279
                      3,                   1.64,                 1.6688,                 1.6253,                0.58652,                 0.6891,                0.64552,                0.23103,                  2.193,                 1.7031,                 1.8865,              0.0014066,              0.0014066,              0.0014066
                      4,                 1.5856,                 1.5539,                 1.5752,                0.60658,                0.64219,                0.55364,                0.20851,                 2.1924,                 1.5801,                 1.7641,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.5509,                 1.4573,                  1.562,                0.77253,                0.83498,                0.86424,                0.38752,                 2.0029,                 1.3929,                 1.6693,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.5567,                 1.3861,                 1.5435,                0.67254,                0.64684,                0.63612,                 0.1967,                 2.4195,                 1.2983,                  2.065,              0.0013913,              0.0013913,              0.0013913
                      7,                  1.515,                 1.4071,                 1.5089,                  0.681,                0.76775,                0.73659,                0.21453,                  2.479,                  1.273,                 1.9135,              0.0013818,              0.0013818,              0.0013818
                      8,                 1.4906,                 1.2719,                 1.4885,                0.91609,                   0.79,                0.89674,                0.38948,                 1.9967,                 1.0398,                 1.5936,              0.0013724,              0.0013724,              0.0013724
                      9,                  1.457,                 1.2074,                 1.4559,                0.86446,                0.84961,                0.86346,                0.33185,                 2.0712,                 1.0289,                 1.6761,               0.001363,               0.001363,               0.001363
                     10,                 1.5003,                 1.2261,                 1.4894,                0.87625,                 0.7926,                0.88027,                0.30452,                 2.2037,                  1.135,                 1.8368,              0.0013535,              0.0013535,              0.0013535
                     11,                 1.4474,                 1.1689,                 1.4506,                0.86771,                0.81181,                0.90469,                0.33131,                 2.2176,                0.98299,                 1.7106,              0.0013441,              0.0013441,              0.0013441
                     12,                 1.4398,                 1.1357,                 1.4481,                0.87654,                0.80609,                0.90468,                0.42173,                 1.8254,                0.92893,                 1.5299,              0.0013347,              0.0013347,              0.0013347
                     13,                 1.4088,                 1.1106,                 1.4268,                  0.903,                0.85402,                0.93633,                0.38878,                 2.1031,                  0.956,                 1.7098,              0.0013253,              0.0013253,              0.0013253
                     14,                 1.4168,                 1.1042,                 1.4295,                0.88077,                0.84581,                0.92356,                0.34634,                  2.117,                 1.0042,                  1.757,              0.0013158,              0.0013158,              0.0013158
                     15,                 1.3898,                 1.0755,                 1.4073,                0.93505,                0.84503,                0.93454,                 0.3648,                 2.1198,                0.93181,                 1.7499,              0.0013064,              0.0013064,              0.0013064
                     16,                 1.3762,                  1.033,                 1.4014,                0.89092,                0.85545,                0.93297,                0.41809,                 2.0212,                0.85647,                 1.5831,               0.001297,               0.001297,               0.001297
                     17,                  1.362,                 1.0467,                 1.3922,                0.88634,                0.85188,                0.92355,                0.38317,                 1.9904,                0.88342,                 1.6227,              0.0012875,              0.0012875,              0.0012875
                     18,                 1.3721,                 1.0525,                 1.4031,                0.91687,                0.92048,                0.96501,                0.47897,                 1.7069,                0.78922,                 1.4177,              0.0012781,              0.0012781,              0.0012781
                     19,                  1.376,                 1.0252,                 1.4004,                0.92697,                0.89917,                 0.9622,                0.41799,                 1.9748,                0.85378,                 1.6601,              0.0012687,              0.0012687,              0.0012687
                     20,                 1.3618,                 1.0414,                 1.4038,                0.92755,                0.93382,                0.97299,                0.43671,                 1.9048,                0.79036,                 1.5516,              0.0012592,              0.0012592,              0.0012592
                     21,                 1.3503,                0.99774,                 1.3868,                0.92176,                 0.8254,                0.93951,                0.41393,                 1.9014,                0.81145,                 1.6343,              0.0012498,              0.0012498,              0.0012498
                     22,                 1.3388,                0.96953,                 1.3842,                0.94142,                0.95913,                0.98111,                0.47533,                 1.7861,                 0.7556,                 1.4646,              0.0012404,              0.0012404,              0.0012404
                     23,                 1.3213,                0.97984,                 1.3635,                0.94019,                0.94855,                0.97759,                0.48154,                 1.7936,                0.74256,                 1.4625,              0.0012309,              0.0012309,              0.0012309
                     24,                 1.3176,                0.96527,                 1.3569,                0.91093,                  0.894,                0.95533,                0.36618,                 2.1163,                0.83581,                 1.7153,              0.0012215,              0.0012215,              0.0012215
                     25,                 1.3342,                0.96184,                 1.3676,                0.95481,                0.87199,                0.96616,                0.40584,                 2.0352,                 0.8399,                 1.5997,              0.0012121,              0.0012121,              0.0012121
                     26,                 1.3196,                0.93499,                 1.3764,                 0.9344,                0.93851,                0.97726,                0.44073,                 1.8817,                0.76991,                 1.6038,              0.0012026,              0.0012026,              0.0012026
                     27,                 1.2966,                0.91981,                 1.3624,                0.91596,                  0.951,                0.98478,                0.45808,                 1.9236,                0.75137,                 1.5842,              0.0011932,              0.0011932,              0.0011932
